source,target,total_value,min_gas_price,transaction_count
0xc4c6c27b2259794a1dd35d438e703281c0e4a004,0x000000000000ad05ccc4f10045630fb830b95127,9902280000000000000,11617872159,64
0x8951f25adcc7c3256dd9b521ed726fb587a46d52,0x000000000000ad05ccc4f10045630fb830b95127,2298019980000000000,11598295017,67
0x339feed331cb5bdce8a4e39e7f357a36d1341050,0x000000000000ad05ccc4f10045630fb830b95127,0,11830505641,157
0xba26877c2036e1f2baba63bdd5bfe996b050e13c,0x000000000000ad05ccc4f10045630fb830b95127,1226800000000000000,11347333278,184
0xbb41dd49254e8b9d631b835062392a460081734d,0x000000000000ad05ccc4f10045630fb830b95127,0,12165616444,44
0x29d5527caa78f1946a409fa6acaf14a0a4a0274b,0x0000000000085d4780b73119b644ae5ecd22b376,0,10716003132,85
0xb6d5af73e2965e75fbaf1b41c5640e19bac59e8f,0x00000000006c3852cbef3e08e8df289169ede581,3329371898999999999,12056350903,77
0x017347cb75ac8725608e593ea35d83f9b2b3cfb8,0x00000000006c3852cbef3e08e8df289169ede581,8493929969999999997,11683137726,81
0x76c2c1bba6b13da9527a4fc830503ae55206d8e5,0x00000000006c3852cbef3e08e8df289169ede581,2107865599989999998,10928745978,148
0x33410355169e6cd994218238f685629624c9e299,0x00000000006c3852cbef3e08e8df289169ede581,1895495666000000000,11741367064,108
0x3f47a30180c6fd23c8fcf5a062a08b66ae1c9192,0x00000000006c3852cbef3e08e8df289169ede581,2210986999999999000,12000000000,87
0x91fa982255f24f7cb841c6218a08177241777ade,0x00000000006c3852cbef3e08e8df289169ede581,4937490000000000000,11045597891,67
0x149f2e46e81b5ce8c328cfe092a2487ff3c9e24b,0x00000000006c3852cbef3e08e8df289169ede581,4566667597999999999,11504436022,152
0x19c8823e9f039f46b855ebc7447a5a65c89ccca7,0x00000000006c3852cbef3e08e8df289169ede581,1588187999999899998,12173600172,86
0x98a24dcdd8a76ce9efee11da457e2823341c9806,0x00000000006c3852cbef3e08e8df289169ede581,1060281999969999995,11491030857,90
0xe8112dc79b6f9d8f1e3a9e663ad895ce7ab47e7f,0x00000000006c3852cbef3e08e8df289169ede581,2707480149987999995,11706476728,111
0xbdd95abe8a7694ccd77143376b0fbea183e6a740,0x00000000006c3852cbef3e08e8df289169ede581,11881941807665798983,11109048076,128
0xbe4f552a9427b54d03a765cf61e7799ab49c8277,0x00000000006c3852cbef3e08e8df289169ede581,4067152789898910000,11677612334,140
0xe5463558a8241ec7bc70b202e7cb3d1465dbb124,0x00000000006c3852cbef3e08e8df289169ede581,4190419900000000000,12468720110,71
0xeaeb42b770e662e653f0de9f4c6f1677102517b7,0x00000000006c3852cbef3e08e8df289169ede581,980518000000000000,11335975283,113
0x9a4e0f2edfb4fda5d23a1d72b5c7a23c8c5fd7ef,0x00000000006c3852cbef3e08e8df289169ede581,1324909000000000002,14019690525,77
0xe2591bd3d77e4ab6a477b8fc776a36f7aee13a1d,0x00000000006c3852cbef3e08e8df289169ede581,4390371989999999997,12262015227,69
